order_line_id,order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,sales_channel,payment_mode,order_status
OL00021-3,O00021,2025-01-16,C036,P006,4,443.00,0.0400,Online,Wallet,COMPLETED
OL00022-1,O00022,2025-01-16,C037,P007,1,68.87,0.0700,Online,Wallet,COMPLETED
OL00022-2,O00022,2025-01-16,C037,P015,2,63.26,0.0600,Online,Wallet,COMPLETED
OL00023-1,O00023,2025-01-17,C048,P010,3,84.54,0.0300,Retail,UPI,COMPLETED
OL00024-1,O00024,2025-01-18,C046,P007,2,68.36,0.0600,Online,Wallet,COMPLETED
OL00024-2,O00024,2025-01-18,C046,P011,2,29.24,0.0700,Online,Wallet,COMPLETED
OL00025-1,O00025,2025-01-18,C052,P008,1,38.46,0.0800,Online,Card,COMPLETED
OL00025-2,O00025,2025-01-18,C052,P005,3,332.18,0.0800,Online,Card,COMPLETED
OL00025-3,O00025,2025-01-18,C052,P013,3,89.89,0.0700,Online,Card,COMPLETED
OL00026-1,O00026,2025-01-19,C069,P011,2,28.99,0.0400,Online,Wallet,COMPLETED
OL00027-1,O00027,2025-01-19,C004,P002,3,189.29,0.0900,Partner,UPI,COMPLETED
OL00027-2,O00027,2025-01-19,C004,P001,2,88.94,0.0900,Partner,UPI,COMPLETED
OL00028-1,O00028,2025-01-20,C056,P010,1,84.32,0.1000,Online,Wallet,COMPLETED
OL00029-1,O00029,2025-01-21,C047,P005,1,327.70,0.1100,Online,UPI,COMPLETED
OL00030-1,O00030,2025-01-21,C066,P003,3,237.19,0.0600,Online,Card,COMPLETED
OL00030-2,O00030,2025-01-21,C066,P002,1,187.50,0.0400,Online,Card,COMPLETED
OL00030-3,O00030,2025-01-21,C066,P011,1,28.63,0.0600,Online,Card,COMPLETED
OL00031-1,O00031,2025-01-22,C047,P012,3,48.78,0.1100,Online,Card,COMPLETED
OL00031-2,O00031,2025-01-22,C047,P006,3,451.51,0.0900,Online,Card,COMPLETED
OL00031-3,O00031,2025-01-22,C047,P002,1,191.45,0.0900,Online,Card,COMPLETED
OL00032-1,O00032,2025-01-22,C015,P001,1,89.67,0.0500,Online,UPI,COMPLETED
OL00032-2,O00032,2025-01-22,C015,P008,1,38.84,0.0400,Online,UPI,COMPLETED
OL00033-1,O00033,2025-01-23,C020,P001,1,89.28,0.0700,Retail,Card,COMPLETED
OL00034-1,O00034,2025-01-24,C076,P002,1,188.43,0.0700,Online,Card,COMPLETED
OL00034-2,O00034,2025-01-24,C076,P013,1,89.44,0.0600,Online,Card,COMPLETED
OL00034-3,O00034,2025-01-24,C076,P016,1,73.31,0.0800,Online,Card,COMPLETED
OL00035-1,O00035,2025-01-24,C036,P003,3,240.29,0.0900,Partner,Card,COMPLETED
OL00036-1,O00036,2025-01-25,C079,P015,4,63.17,0.0700,Online,UPI,COMPLETED
OL00037-1,O00037,2025-01-25,C068,P014,2,33.56,0.0700,Retail,Card,COMPLETED
OL00038-1,O00038,2025-01-26,C019,P007,1,68.20,0.0400,Retail,UPI,COMPLETED
OL00038-2,O00038,2025-01-26,C019,P011,2,28.81,0.0600,Retail,UPI,COMPLETED
OL00038-3,O00038,2025-01-26,C019,P013,1,90.23,0.0600,Retail,UPI,COMPLETED
OL00039-1,O00039,2025-01-26,C075,P003,3,241.33,0.0400,Online,Card,COMPLETED
OL00040-1,O00040,2025-01-27,C066,P013,2,88.91,0.0200,Retail,Bank Transfer,COMPLETED
OL00041-1,O00041,2025-01-27,C060,P014,1,34.36,0.0800,Partner,UPI,COMPLETED
OL00042-1,O00042,2025-01-28,C003,P003,1,240.75,0.0400,Online,Card,COMPLETED
OL00042-2,O00042,2025-01-28,C003,P013,5,89.52,0.0400,Online,Card,COMPLETED
OL00042-3,O00042,2025-01-28,C003,P011,4,29.30,0.0400,Online,Card,COMPLETED
OL00043-1,O00043,2025-01-29,C044,P013,2,90.33,0.0700,Retail,Wallet,COMPLETED
OL00043-2,O00043,2025-01-29,C044,P007,4,69.68,0.0900,Retail,Wallet,COMPLETED
OL00044-1,O00044,2025-01-29,C050,P003,1,242.45,0.0900,Online,Bank Transfer,COMPLETED
OL00045-1,O00045,2025-01-30,C019,P011,2,29.32,0.0700,Online,Bank Transfer,COMPLETED
OL00046-1,O00046,2025-01-30,C002,P008,2,38.72,0.1100,Online,Wallet,COMPLETED
OL00046-2,O00046,2025-01-30,C002,P002,1,191.39,0.0900,Online,Wallet,COMPLETED
OL00046-3,O00046,2025-01-30,C002,P006,2,454.65,0.1100,Online,Wallet,COMPLETED
OL00047-1,O00047,2025-01-31,C029,P007,1,68.69,0.0900,Online,UPI,COMPLETED
OL00047-2,O00047,2025-01-31,C029,P009,1,98.21,0.1000,Online,UPI,COMPLETED
OL00048-1,O00048,2025-01-31,C005,P015,2,64.24,0.0900,Online,Bank Transfer,COMPLETED
OL00049-1,O00049,2025-02-01,C077,P010,1,84.51,0.1100,Online,Bank Transfer,COMPLETED
OL00049-2,O00049,2025-02-01,C077,P009,2,100.54,0.0900,Online,Bank Transfer,COMPLETED
OL00050-1,O00050,2025-02-01,C019,P006,2,449.80,0.0600,Online,Bank Transfer,COMPLETED
OL00050-2,O00050,2025-02-01,C019,P012,3,49.05,0.0700,Online,Bank Transfer,COMPLETED
OL00051-1,O00051,2025-02-02,C015,P009,2,99.28,0.0600,Online,Card,COMPLETED
OL00051-2,O00051,2025-02-02,C015,P002,1,191.88,0.0500,Online,Card,COMPLETED
OL00052-1,O00052,2025-02-02,C078,P015,2,64.75,0.0400,Online,Wallet,COMPLETED
OL00052-2,O00052,2025-02-02,C078,P008,3,39.12,0.0400,Online,Wallet,COMPLETED
OL00053-1,O00053,2025-02-03,C054,P007,1,68.74,0.0800,Partner,Bank Transfer,COMPLETED
OL00053-2,O00053,2025-02-03,C054,P014,1,34.42,0.0700,Partner,Bank Transfer,COMPLETED
OL00053-3,O00053,2025-02-03,C054,P011,5,29.22,0.0800,Partner,Bank Transfer,COMPLETED
OL00054-1,O00054,2025-02-03,C061,P004,1,108.30,0.0600,Online,Wallet,COMPLETED
OL00055-1,O00055,2025-02-04,C031,P008,3,39.36,0.0800,Online,Bank Transfer,COMPLETED
OL00055-2,O00055,2025-02-04,C031,P010,3,85.18,0.0800,Online,Bank Transfer,COMPLETED
OL00056-1,O00056,2025-02-05,C062,P007,1,68.29,0.1300,Partner,UPI,COMPLETED
OL00057-1,O00057,2025-02-05,C038,P004,4,107.83,0.1100,Online,Bank Transfer,COMPLETED
OL00058-1,O00058,2025-02-06,C074,P006,1,446.83,0.0900,Retail,Bank Transfer,COMPLETED
OL00059-1,O00059,2025-02-06,C037,P007,1,68.43,0.0600,Online,Wallet,COMPLETED
OL00059-2,O00059,2025-02-06,C037,P002,3,187.73,0.0800,Online,Wallet,COMPLETED
OL00060-1,O00060,2025-02-07,C003,P001,3,89.82,0.0900,Partner,Wallet,COMPLETED
OL00061-1,O00061,2025-02-07,C079,P004,2,110.79,0.0600,Retail,UPI,COMPLETED
OL00061-2,O00061,2025-02-07,C079,P013,3,88.51,0.0500,Retail,UPI,COMPLETED
OL00062-1,O00062,2025-02-08,C072,P001,2,88.21,0.0200,Retail,UPI,COMPLETED
OL00062-2,O00062,2025-02-08,C072,P007,2,68.19,0.0400,Retail,UPI,COMPLETED
OL00063-1,O00063,2025-02-08,C014,P005,5,331.35,0.0800,Retail,Wallet,COMPLETED
OL00063-2,O00063,2025-02-08,C014,P006,2,455.35,0.0700,Retail,Wallet,COMPLETED
OL00064-1,O00064,2025-02-09,C055,P001,3,88.69,0.0400,Retail,Card,CANCELLED
OL00064-2,O00064,2025-02-09,C055,P004,2,109.95,0.0500,Retail,Card,CANCELLED
OL00065-1,O00065,2025-02-09,C045,P005,1,326.23,0.0900,Partner,UPI,COMPLETED
OL00066-1,O00066,2025-02-10,C033,P014,2,34.11,0.0400,Online,Card,COMPLETED
OL00067-1,O00067,2025-02-10,C080,P003,2,239.10,0.1100,Online,Wallet,COMPLETED
OL00068-1,O00068,2025-02-11,C004,P002,3,189.13,0.1100,Partner,Bank Transfer,COMPLETED
OL00069-1,O00069,2025-02-11,C074,P013,1,88.39,0.0900,Online,Card,COMPLETED
OL00070-1,O00070,2025-02-12,C065,P013,1,89.25,0.1000,Online,UPI,COMPLETED
OL00071-1,O00071,2025-02-12,C027,P009,2,98.61,0.0600,Online,Card,COMPLETED
OL00071-2,O00071,2025-02-12,C027,P007,2,69.30,0.0600,Online,Card,COMPLETED
OL00071-3,O00071,2025-02-12,C027,P011,1,28.75,0.0600,Online,Card,COMPLETED
OL00072-1,O00072,2025-02-13,C065,P001,3,88.44,0.0900,Online,Wallet,COMPLETED
OL00072-2,O00072,2025-02-13,C065,P007,2,68.35,0.0900,Online,Wallet,COMPLETED
OL00073-1,O00073,2025-02-13,C040,P016,2,74.40,0.0400,Retail,Bank Transfer,COMPLETED
OL00073-2,O00073,2025-02-13,C040,P013,3,89.61,0.0500,Retail,Bank Transfer,COMPLETED
OL00074-1,O00074,2025-02-14,C011,P015,2,63.98,0.1200,Partner,UPI,CANCELLED
OL00074-2,O00074,2025-02-14,C011,P011,2,29.08,0.1200,Partner,UPI,CANCELLED
OL00075-1,O00075,2025-02-14,C004,P008,1,39.64,0.0700,Online,Bank Transfer,COMPLETED
OL00075-2,O00075,2025-02-14,C004,P001,4,88.37,0.0700,Online,Bank Transfer,COMPLETED
OL00075-3,O00075,2025-02-14,C004,P003,1,242.86,0.0700,Online,Bank Transfer,COMPLETED
OL00076-1,O00076,2025-02-15,C060,P008,2,38.82,0.0300,Retail,Wallet,COMPLETED
OL00077-1,O00077,2025-02-15,C062,P016,3,74.73,0.0800,Retail,Card,RETURNED
OL00078-1,O00078,2025-02-16,C059,P016,2,75.07,0.0900,Online,Card,COMPLETED
OL00078-2,O00078,2025-02-16,C059,P011,4,28.99,0.1100,Online,Card,COMPLETED
OL00079-1,O00079,2025-02-16,C006,P013,2,89.65,0.0700,Partner,Bank Transfer,COMPLETED
OL00079-2,O00079,2025-02-16,C006,P007,4,69.73,0.0800,Partner,Bank Transfer,COMPLETED
OL00080-1,O00080,2025-02-17,C026,P013,1,89.87,0.1100,Online,Wallet,COMPLETED
OL00080-2,O00080,2025-02-17,C026,P006,2,443.80,0.0900,Online,Wallet,COMPLETED
OL00081-1,O00081,2025-02-17,C062,P010,1,83.99,0.1100,Online,UPI,COMPLETED
OL00081-2,O00081,2025-02-17,C062,P001,4,89.50,0.1100,Online,UPI,COMPLETED
OL00081-3,O00081,2025-02-17,C062,P005,1,325.67,0.1000,Online,UPI,COMPLETED
OL00082-1,O00082,2025-02-18,C037,P006,2,455.97,0.1100,Partner,Card,COMPLETED
OL00083-1,O00083,2025-02-18,C069,P014,2,34.23,0.0400,Online,Card,COMPLETED
OL00084-1,O00084,2025-02-19,C033,P003,3,236.67,0.0400,Retail,UPI,COMPLETED
OL00084-2,O00084,2025-02-19,C033,P004,3,109.72,0.0400,Retail,UPI,COMPLETED
OL00085-1,O00085,2025-02-19,C025,P014,2,34.02,0.0700,Online,Card,COMPLETED
OL00086-1,O00086,2025-02-20,C064,P014,3,34.47,0.0800,Online,Wallet,COMPLETED
OL00086-2,O00086,2025-02-20,C064,P006,1,452.93,0.0600,Online,Wallet,COMPLETED
OL00086-3,O00086,2025-02-20,C064,P001,1,88.46,0.0800,Online,Wallet,COMPLETED
OL00087-1,O00087,2025-02-20,C019,P016,2,74.27,0.0400,Retail,UPI,COMPLETED
OL00087-2,O00087,2025-02-20,C019,P009,1,98.48,0.0600,Retail,UPI,COMPLETED
OL00088-1,O00088,2025-02-21,C065,P012,1,49.16,0.0900,Retail,Wallet,COMPLETED
OL00089-1,O00089,2025-02-21,C048,P006,2,454.04,0.0400,Online,Bank Transfer,COMPLETED
OL00089-2,O00089,2025-02-21,C048,P002,3,191.19,0.0500,Online,Bank Transfer,COMPLETED
OL00090-1,O00090,2025-02-21,C060,P002,1,191.41,0.0600,Online,Card,COMPLETED
OL00091-1,O00091,2025-02-22,C073,P011,2,29.47,0.0600,Retail,Wallet,COMPLETED
OL00091-2,O00091,2025-02-22,C073,P010,2,83.28,0.0500,Retail,Wallet,COMPLETED
OL00092-1,O00092,2025-02-22,C056,P005,1,326.03,0.0700,Retail,UPI,COMPLETED
OL00093-1,O00093,2025-02-23,C070,P008,3,38.99,0.0400,Retail,UPI,RETURNED
OL00094-1,O00094,2025-02-23,C009,P009,2,97.74,0.0300,Retail,Bank Transfer,COMPLETED
OL00094-2,O00094,2025-02-23,C009,P016,2,73.65,0.0200,Retail,Bank Transfer,COMPLETED
OL00095-1,O00095,2025-02-24,C044,P003,2,238.77,0.1200,Partner,UPI,COMPLETED
OL00095-2,O00095,2025-02-24,C044,P006,2,450.16,0.1200,Partner,UPI,COMPLETED
OL00096-1,O00096,2025-02-24,C012,P009,2,98.38,0.0500,Online,Card,COMPLETED
OL00096-2,O00096,2025-02-24,C012,P015,1,63.82,0.0500,Online,Card,COMPLETED
OL00097-1,O00097,2025-02-25,C008,P014,2,34.26,0.0900,Online,Wallet,COMPLETED
OL00097-2,O00097,2025-02-25,C008,P012,3,48.47,0.0900,Online,Wallet,COMPLETED
OL00098-1,O00098,2025-02-25,C079,P004,4,107.66,0.1000,Partner,Bank Transfer,COMPLETED
OL00098-2,O00098,2025-02-25,C079,P005,4,331.97,0.0900,Partner,Bank Transfer,COMPLETED
OL00099-1,O00099,2025-02-26,C024,P014,1,34.14,0.0600,Online,Wallet,COMPLETED
OL00100-1,O00100,2025-02-26,C070,P001,3,89.09,0.0700,Online,Bank Transfer,RETURNED
OL00101-1,O00101,2025-02-27,C040,P006,5,454.33,0.0500,Retail,Wallet,CANCELLED
OL00102-1,O00102,2025-02-27,C078,P002,1,188.30,0.0400,Online,UPI,COMPLETED
OL00102-2,O00102,2025-02-27,C078,P009,1,100.50,0.0500,Online,UPI,COMPLETED
OL00102-3,O00102,2025-02-27,C078,P001,2,89.96,0.0400,Online,UPI,COMPLETED
OL00103-1,O00103,2025-02-28,C046,P004,2,108.30,0.0600,Online,Card,COMPLETED
OL00103-2,O00103,2025-02-28,C046,P015,3,64.31,0.0600,Online,Card,COMPLETED
OL00103-3,O00103,2025-02-28,C046,P003,1,241.40,0.0800,Online,Card,COMPLETED
OL00104-1,O00104,2025-02-28,C035,P001,1,88.99,0.0900,Online,UPI,COMPLETED
OL00105-1,O00105,2025-03-01,C071,P003,1,240.80,0.1000,Online,UPI,COMPLETED
OL00105-2,O00105,2025-03-01,C071,P001,2,89.42,0.0900,Online,UPI,COMPLETED
OL00106-1,O00106,2025-03-01,C055,P015,1,64.60,0.0800,Online,Bank Transfer,COMPLETED
OL00106-2,O00106,2025-03-01,C055,P010,2,85.05,0.0800,Online,Bank Transfer,COMPLETED
OL00107-1,O00107,2025-03-01,C041,P002,3,191.95,0.1100,Online,Bank Transfer,RETURNED
OL00108-1,O00108,2025-03-02,C078,P005,2,326.59,0.0300,Retail,Bank Transfer,COMPLETED
OL00109-1,O00109,2025-03-02,C068,P007,3,69.60,0.0800,Retail,Wallet,COMPLETED
OL00110-1,O00110,2025-03-03,C020,P002,1,187.99,0.1100,Online,Wallet,COMPLETED
OL00110-2,O00110,2025-03-03,C020,P010,2,83.38,0.1000,Online,Wallet,COMPLETED
OL00111-1,O00111,2025-03-03,C035,P012,1,48.97,0.0900,Retail,Bank Transfer,COMPLETED
OL00111-2,O00111,2025-03-03,C035,P003,2,242.79,0.0700,Retail,Bank Transfer,COMPLETED
OL00112-1,O00112,2025-03-04,C063,P001,1,88.46,0.0600,Online,Wallet,COMPLETED
OL00113-1,O00113,2025-03-04,C005,P006,4,446.07,0.1200,Partner,Wallet,COMPLETED
OL00113-2,O00113,2025-03-04,C005,P010,1,83.95,0.1200,Partner,Wallet,COMPLETED
OL00113-3,O00113,2025-03-04,C005,P002,3,192.29,0.1200,Partner,Wallet,COMPLETED
OL00114-1,O00114,2025-03-05,C032,P004,3,109.44,0.0700,Retail,UPI,COMPLETED
OL00114-2,O00114,2025-03-05,C032,P002,1,188.83,0.0700,Retail,UPI,COMPLETED
OL00114-3,O00114,2025-03-05,C032,P005,5,329.32,0.0800,Retail,UPI,COMPLETED
OL00115-1,O00115,2025-03-05,C053,P004,2,109.55,0.1000,Online,Bank Transfer,COMPLETED
OL00115-2,O00115,2025-03-05,C053,P005,3,326.70,0.1000,Online,Bank Transfer,COMPLETED
OL00116-1,O00116,2025-03-06,C032,P004,2,108.41,0.0900,Online,Wallet,COMPLETED
OL00117-1,O00117,2025-03-06,C025,P002,1,192.58,0.0400,Retail,Wallet,COMPLETED
OL00118-1,O00118,2025-03-07,C080,P013,4,89.04,0.1100,Online,Bank Transfer,COMPLETED
OL00118-2,O00118,2025-03-07,C080,P007,3,68.82,0.0900,Online,Bank Transfer,COMPLETED
OL00119-1,O00119,2025-03-07,C026,P012,1,48.98,0.1300,Partner,Bank Transfer,COMPLETED
OL00120-1,O00120,2025-03-07,C014,P002,1,190.11,0.1100,Online,Card,COMPLETED
OL00120-2,O00120,2025-03-07,C014,P013,3,89.72,0.1000,Online,Card,COMPLETED
OL00121-1,O00121,2025-03-08,C054,P001,3,89.45,0.0600,Online,Bank Transfer,COMPLETED
OL00121-2,O00121,2025-03-08,C054,P009,4,100.28,0.0500,Online,Bank Transfer,COMPLETED
OL00121-3,O00121,2025-03-08,C054,P006,2,448.96,0.0500,Online,Bank Transfer,COMPLETED
OL00122-1,O00122,2025-03-08,C062,P005,4,326.30,0.0800,Retail,Bank Transfer,COMPLETED
OL00122-2,O00122,2025-03-08,C062,P003,1,238.19,0.0700,Retail,Bank Transfer,COMPLETED
OL00123-1,O00123,2025-03-09,C021,P008,1,38.73,0.0500,Online,Card,COMPLETED
OL00123-2,O00123,2025-03-09,C021,P009,5,99.65,0.0500,Online,Card,COMPLETED
OL00124-1,O00124,2025-03-09,C065,P010,3,83.47,0.1200,Partner,UPI,COMPLETED
OL00125-1,O00125,2025-03-10,C038,P014,1,34.19,0.1100,Online,UPI,COMPLETED
OL00125-2,O00125,2025-03-10,C038,P006,1,447.70,0.1000,Online,UPI,COMPLETED
OL00125-3,O00125,2025-03-10,C038,P016,2,74.63,0.0900,Online,UPI,COMPLETED
OL00126-1,O00126,2025-03-10,C031,P008,1,39.66,0.0800,Online,UPI,COMPLETED
OL00127-1,O00127,2025-03-11,C003,P011,2,28.93,0.0700,Partner,Card,COMPLETED
OL00127-2,O00127,2025-03-11,C003,P002,1,190.44,0.0700,Partner,Card,COMPLETED
OL00128-1,O00128,2025-03-11,C008,P006,2,452.46,0.1000,Online,Card,CANCELLED
OL00129-1,O00129,2025-03-12,C071,P010,2,84.13,0.1200,Partner,UPI,COMPLETED
OL00130-1,O00130,2025-03-12,C073,P013,1,88.50,0.0600,Online,UPI,COMPLETED
OL00130-2,O00130,2025-03-12,C073,P008,2,39.51,0.0800,Online,UPI,COMPLETED
OL00131-1,O00131,2025-03-12,C058,P010,1,83.70,0.0800,Online,UPI,COMPLETED
OL00131-2,O00131,2025-03-12,C058,P003,2,237.74,0.0700,Online,UPI,COMPLETED
OL00131-3,O00131,2025-03-12,C058,P001,2,88.85,0.0700,Online,UPI,COMPLETED
OL00132-1,O00132,2025-03-13,C031,P010,1,85.07,0.1100,Partner,Wallet,COMPLETED
OL00133-1,O00133,2025-03-13,C076,P004,3,110.17,0.0500,Retail,UPI,COMPLETED
OL00133-2,O00133,2025-03-13,C076,P009,3,100.50,0.0400,Retail,UPI,COMPLETED
OL00134-1,O00134,2025-03-14,C038,P003,3,237.69,0.0900,Retail,Bank Transfer,COMPLETED
OL00135-1,O00135,2025-03-14,C045,P014,3,33.83,0.0700,Partner,Bank Transfer,COMPLETED
OL00136-1,O00136,2025-03-15,C056,P012,1,48.93,0.1000,Online,Card,COMPLETED
OL00136-2,O00136,2025-03-15,C056,P006,2,457.26,0.1000,Online,Card,COMPLETED
OL00137-1,O00137,2025-03-15,C065,P013,5,90.20,0.1000,Online,UPI,COMPLETED
OL00137-2,O00137,2025-03-15,C065,P014,1,34.40,0.1000,Online,UPI,COMPLETED
OL00138-1,O00138,2025-03-16,C017,P012,2,49.37,0.1300,Partner,Wallet,COMPLETED
OL00138-2,O00138,2025-03-16,C017,P010,2,84.61,0.1300,Partner,Wallet,COMPLETED
OL00138-3,O00138,2025-03-16,C017,P011,1,29.01,0.1200,Partner,Wallet,COMPLETED
OL00139-1,O00139,2025-03-16,C002,P003,3,239.57,0.0700,Retail,Bank Transfer,COMPLETED
OL00139-2,O00139,2025-03-16,C002,P001,1,90.44,0.0800,Retail,Bank Transfer,COMPLETED
OL00139-3,O00139,2025-03-16,C002,P008,2,39.12,0.0800,Retail,Bank Transfer,COMPLETED
OL00140-1,O00140,2025-03-16,C063,P014,1,33.84,0.0300,Retail,Card,COMPLETED
OL00140-2,O00140,2025-03-16,C063,P010,2,84.33,0.0200,Retail,Card,COMPLETED
OL00141-1,O00141,2025-03-17,C067,P014,2,33.84,0.0700,Online,Wallet,COMPLETED
OL00142-1,O00142,2025-03-17,C039,P006,1,447.24,0.0400,Retail,Bank Transfer,COMPLETED
OL00142-2,O00142,2025-03-17,C039,P002,2,191.15,0.0200,Retail,Bank Transfer,COMPLETED
OL00143-1,O00143,2025-03-18,C055,P001,2,89.61,0.0700,Online,Wallet,COMPLETED
OL00143-2,O00143,2025-03-18,C055,P013,3,89.37,0.0800,Online,Wallet,COMPLETED
OL00144-1,O00144,2025-03-18,C065,P010,1,84.45,0.0900,Retail,UPI,COMPLETED
OL00144-2,O00144,2025-03-18,C065,P015,2,64.47,0.0700,Retail,UPI,COMPLETED
OL00144-3,O00144,2025-03-18,C065,P016,4,74.46,0.0800,Retail,UPI,COMPLETED
OL00145-1,O00145,2025-03-19,C071,P005,3,333.07,0.0700,Retail,UPI,COMPLETED
OL00145-2,O00145,2025-03-19,C071,P014,2,33.71,0.0900,Retail,UPI,COMPLETED
OL00146-1,O00146,2025-03-19,C026,P008,3,38.64,0.0900,Retail,UPI,COMPLETED
OL00146-2,O00146,2025-03-19,C026,P007,2,69.39,0.0900,Retail,UPI,COMPLETED
OL00146-3,O00146,2025-03-19,C026,P004,4,109.10,0.0700,Retail,UPI,COMPLETED
OL00147-1,O00147,2025-03-19,C056,P005,2,334.60,0.0700,Retail,Card,COMPLETED
OL00147-2,O00147,2025-03-19,C056,P014,5,33.86,0.0700,Retail,Card,COMPLETED
OL00148-1,O00148,2025-03-20,C044,P012,3,48.73,0.0700,Retail,UPI,COMPLETED
OL00148-2,O00148,2025-03-20,C044,P002,4,191.43,0.0700,Retail,UPI,COMPLETED
OL00149-1,O00149,2025-03-20,C038,P001,2,90.28,0.1100,Online,Wallet,RETURNED
OL00149-2,O00149,2025-03-20,C038,P009,5,99.97,0.1000,Online,Wallet,RETURNED
OL00149-3,O00149,2025-03-20,C038,P006,3,456.37,0.0900,Online,Wallet,RETURNED
OL00150-1,O00150,2025-03-21,C076,P008,3,39.69,0.0600,Online,Bank Transfer,COMPLETED
OL00151-1,O00151,2025-03-21,C015,P015,1,64.42,0.0400,Online,Bank Transfer,COMPLETED
OL00152-1,O00152,2025-03-22,C023,P001,4,89.04,0.1100,Online,Bank Transfer,COMPLETED
OL00152-2,O00152,2025-03-22,C023,P016,2,73.81,0.1000,Online,Bank Transfer,COMPLETED
OL00153-1,O00153,2025-03-22,C022,P015,4,65.21,0.1100,Partner,Wallet,COMPLETED
OL00154-1,O00154,2025-03-23,C017,P004,4,108.18,0.0900,Online,UPI,COMPLETED
OL00154-2,O00154,2025-03-23,C017,P003,4,240.93,0.1000,Online,UPI,COMPLETED
OL00154-3,O00154,2025-03-23,C017,P013,1,88.31,0.0900,Online,UPI,COMPLETED
OL00155-1,O00155,2025-03-23,C023,P005,4,330.20,0.0900,Retail,Bank Transfer,COMPLETED
OL00155-2,O00155,2025-03-23,C023,P010,2,84.92,0.0900,Retail,Bank Transfer,COMPLETED
OL00156-1,O00156,2025-03-23,C037,P014,1,34.32,0.1000,Partner,Wallet,COMPLETED
OL00157-1,O00157,2025-03-24,C050,P016,3,73.47,0.1100,Online,UPI,COMPLETED
